Genus,Group,Family,Source
Limoniastrum,A,Plumbaginaceae,APG4
Limoniodes,A,Plumbaginaceae,APG4
Limoniopsis,A,Plumbaginaceae,APG4
Limonium,A,Plumbaginaceae,APG4
Limosella,A,Scrophulariaceae,APG4
Linanthastrum,A,Polemoniaceae,APG4
Linanthus,A,Polemoniaceae,APG4
Linaria,A,Plantaginaceae,APG4
Linariantha,A,Acanthaceae,APG4
Linariopsis,A,Pedaliaceae,APG4
Linconia,A,Bruniaceae,APG4
Lindackeria,A,Achariaceae,APG4
Lindauea,A,Acanthaceae,APG4
Lindbergella,A,Poaceae,APG4
Lindbergia,A,Poaceae,APG4
Lindblomia,A,Orchidaceae,APG4
Lindelofia,A,Boraginaceae,APG4
Lindenbergia,A,Orobanchaceae,APG4
Lindenia,A,Rubiaceae,APG4
Lindeniopiper,A,Piperaceae,APG4
Lindera,A,Lauraceae,APG4
Lindernia,A,Fabaceae,APG4
Linderniella,A,Linderniaceae,APG4
Lindheimera,A,Asteraceae,APG4
Lindleya,A,Rosaceae,APG4
Lindleyalis,A,Orchidaceae,APG4
Lindleyella,A,Rosaceae,APG4
Lindmania,A,Bromeliaceae,APG4
Lindneria,A,Asparagaceae,APG4
