Genus,Group,Family,Source
Mantagnaea,A,Asteraceae,APG4
Mantalania,A,Rubiaceae,APG4
Mantisalca,A,Asteraceae,APG4
Mantisia,A,Zingiberaceae,APG4
Manulea,A,Scrophulariaceae,APG4
Manuleopsis,A,Scrophulariaceae,APG4
Manungala,A,Simaroubaceae,APG4
Manyonia,A,Asteraceae,APG4
Maoutia,A,Urticaceae,APG4
Mapania,A,Cyperaceae,APG4
Mapaniopsis,A,Cyperaceae,APG4
Mapinguari,A,Orchidaceae,APG4
Mapira,A,Poaceae,APG4
Mapouria,A,Rubiaceae,APG4
Mappa,A,Euphorbiaceae,APG4
Mappia,A,Icacinaceae,APG4
Mappianthus,A,Icacinaceae,APG4
Maprounea,A,Euphorbiaceae,APG4
Mapuchea,A,Boraginaceae,APG4
Maquira,A,Moraceae,APG4
Maracanthus,A,Loranthaceae,APG4
Marah,A,Cucurbitaceae,APG4
Marahuacaea,A,Rapateaceae,APG4
Maralia,A,Araliaceae,APG4
Maraniona,A,Fabaceae,APG4
Maranta,A,Marantaceae,APG4
Maranthes,A,Chrysobalanaceae,APG4
Marantochloa,A,Marantaceae,APG4
Marantodes,A,Primulaceae,APG4
Marara,A,Arecaceae,APG4
Marasmodes,A,Asteraceae,APG4
Marathrum,A,Podostemaceae,APG4
Marattia,F,Marattiaceae,TPL
Marcania,A,Acanthaceae,APG4
Marcanthus,A,Fabaceae,APG4
Marcelia,A,Asteraceae,APG4
Marcellia,A,Amaranthaceae,APG4
Marcelliopsis,A,Amaranthaceae,APG4
Marcetella,A,Rosaceae,APG4
Marcetia,A,Melastomataceae,APG4
Marcgravia,A,Marcgraviaceae,APG4
Marcgraviastrum,A,Marcgraviaceae,APG4
Marcielia,A,Boraginaceae,APG4
Marckea,A,Solanaceae,APG4
Marconia,A,Malvaceae,APG4
Marcuccia,A,Annonaceae,APG4
Marcuskochia,A,Brassicaceae,APG4
Marcus-kochia,A,Brassicaceae,APG4
Marenopuntia,A,Cactaceae,APG4
Marenteria,A,Annonaceae,APG4
Maresia,A,Brassicaceae,APG4
Mareya,A,Euphorbiaceae,APG4
Mareyopsis,A,Euphorbiaceae,APG4
Margaranthus,A,Solanaceae,APG4
Margaretta,A,Apocynaceae,APG4
Margaris,A,Rubiaceae,APG4
Margarita,A,Asteraceae,APG4
Margaritaria,A,Phyllanthaceae,APG4
Margaritolobium,A,Fabaceae,APG4
Margaritopsis,A,Rubiaceae,APG4
Margarospermum,A,Boraginaceae,APG4
Margbensonia,G,Podocarpaceae,Apweb
Margelliantha,A,Orchidaceae,APG4
Marginaria,F,Polypodiaceae,TPL
Marginariopsis,F,Polypodiaceae,TPL
Marginatocereus,A,Cactaceae,APG4
Margotia,A,Apiaceae,APG4
Margyracaena X,A,Rosaceae,APG4
Margyricarpus,A,Rosaceae,APG4
Maria-antonia,A,Fabaceae,APG4
Mariacantha,A,Asteraceae,APG4
Marialva,A,Clusiaceae,APG4
Mariana,A,Asteraceae,APG4
Marianthus,A,Pittosporaceae,APG4
Mariarisqueta,A,Orchidaceae,APG4
Marica,A,Iridaceae,APG4
Marignia,A,Burseraceae,APG4
Marila,A,Calophyllaceae,APG4
Marina,A,Fabaceae,APG4
Marinellia,A,Scrophulariaceae,APG4
Mariosousa,A,Fabaceae,APG4
Maripa,A,Convolvulaceae,APG4
Mariscopsis,A,Cyperaceae,APG4
Marisculus,A,Cyperaceae,APG4
Mariscus,A,Cyperaceae,APG4
Maritimocereus,A,Cactaceae,APG4
Marizia,A,Asteraceae,APG4
Markea,A,Solanaceae,APG4
Markhamia,A,Bignoniaceae,APG4
Marlea,A,Cornaceae,APG4
Marlierea,A,Myrtaceae,APG4
Marlieriopsis,A,Myrtaceae,APG4
Marlothia,A,Rhamnaceae,APG4
Marlothiella,A,Apiaceae,APG4
Marlothistella,A,Aizoaceae,APG4
Marmaroxylon,A,Fabaceae,APG4
Marmoritis,A,Lamiaceae,APG4
Marniera,A,Cactaceae,APG4
Marojejya,A,Arecaceae,APG4
Marottia,A,Bixaceae,APG4
Marquesia,A,Dipterocarpaceae,APG4
Marquisia,A,Rubiaceae,APG4
Marrubium,A,Lamiaceae,APG4
Marsdenia,A,Apocynaceae,APG4
Marsea,A,Asteraceae,APG4
Marshallfieldia,A,Melastomataceae,APG4
Marshallia,A,Asteraceae,APG4
Marshalljohnstonia,A,Asteraceae,APG4
Marshallocereus,A,Cactaceae,APG4
Marsilaea,F,Salviniaceae,TPL
Marsilea,F,Marsileaceae,TPL
Marsippospermum,A,Juncaceae,APG4
Marssonia,A,Gesneriaceae,APG4
Marsupiaria,A,Orchidaceae,APG4
Marsypianthes,A,Lamiaceae,APG4
Marsypopetalum,A,Annonaceae,APG4
Martellidendron,A,Pandanaceae,APG4
Martensia,A,Zingiberaceae,APG4
Martensianthus,A,Rubiaceae,APG4
Martha,A,Rubiaceae,APG4
Marthella,A,Burmanniaceae,APG4
Martia,A,Clusiaceae,APG4
Martianthus,A,Lamiaceae,APG4
Marticorenia,A,Asteraceae,APG4
Martiella,A,Loranthaceae,APG4
Martinella,A,Bignoniaceae,APG4
Martinezia,A,Arecaceae,APG4
Martinsia,A,Brassicaceae,APG4
Martiodendron,A,Fabaceae,APG4
Martiusella,A,Sapotaceae,APG4
Martiusia,A,Fabaceae,APG4
Martrasia,A,Asteraceae,APG4
Martretia,A,Phyllanthaceae,APG4
Martynia,A,Martyniaceae,APG4
Marumia,A,Melastomataceae,APG4
Marupa,A,Simaroubaceae,APG4
Maruta,A,Asteraceae,APG4
Marywildea,G,Araucariaceae,Apweb
Masakia,A,Celastraceae,APG4
Mascagnia,A,Malpighiaceae,APG4
Mascarena,A,Arecaceae,APG4
Mascarenhasia,A,Apocynaceae,APG4
Maschalanthe,A,Rubiaceae,APG4
Maschalanthus,A,Phyllanthaceae,APG4
Maschalocephalus,A,Rapateaceae,APG4
Maschalocorymbus,A,Rubiaceae,APG4
Maschalodesme,A,Rubiaceae,APG4
Maschalosorus,F,Hymenophyllaceae,TPL
Maschalostachys,A,Asteraceae,APG4
Masdevallia,A,Orchidaceae,APG4
Masmenia,A,Brassicaceae,APG4
Masoala,A,Arecaceae,APG4
Massangea,A,Bromeliaceae,APG4
Massartina,A,Boraginaceae,APG4
Massia,A,Poaceae,APG4
